iter	Passed	Remaining
0	108	97739
1	138	62062
2	167	50053
3	197	44258
4	227	40675
5	256	38253
6	286	36513
7	318	35483
8	347	34436
9	378	33682
10	407	32895
11	437	32341
12	466	31853
13	499	31607
14	531	31358
15	562	31063
16	593	30810
17	624	30603
18	653	30280
19	684	30138
20	716	29982
21	746	29808
22	776	29615
23	806	29439
24	835	29254
25	865	29101
26	898	29050
27	929	28936
28	959	28816
29	990	28736
30	1021	28634
31	1053	28574
32	1087	28578
33	1117	28469
34	1148	28391
35	1179	28305
36	1209	28206
37	1239	28122
38	1271	28073
39	1303	28018
40	1338	28045
41	1373	28058
42	1408	28074
43	1441	28036
44	1471	27951
45	1500	27865
46	1529	27767
47	1559	27689
48	1590	27627
49	1619	27538
50	1649	27452
51	1678	27374
52	1708	27311
53	1740	27266
54	1771	27216
55	1800	27141
56	1830	27078
57	1860	27012
58	1890	26952
59	1920	26888
60	1950	26822
61	1978	26747
62	2010	26712
63	2039	26644
64	2071	26606
65	2101	26559
66	2130	26487
67	2161	26445
68	2191	26388
69	2219	26319
70	2249	26261
71	2279	26215
72	2309	26164
73	2339	26115
74	2368	26049
75	2398	26003
76	2429	25969
77	2461	25936
78	2490	25887
79	2518	25814
80	2547	25759
81	2575	25694
82	2605	25647
83	2635	25600
84	2666	25566
85	2695	25516
86	2725	25473
87	2755	25426
88	2787	25404
89	2818	25366
90	2847	25310
91	2874	25246
92	2904	25200
93	2933	25155
94	2963	25108
95	2993	25072
96	3026	25053
97	3056	25010
98	3085	24968
99	3116	24931
100	3146	24895
101	3176	24848
102	3206	24811
103	3235	24764
104	3267	24741
105	3299	24712
106	3329	24677
107	3361	24652
108	3393	24626
109	3424	24592
110	3454	24553
111	3485	24523
112	3515	24482
113	3543	24434
114	3571	24379
115	3600	24337
116	3632	24307
117	3663	24275
118	3695	24254
119	3726	24222
120	3755	24177
121	3784	24137
122	3816	24109
123	3844	24059
124	3874	24021
125	3904	23982
126	3936	23957
127	3964	23911
128	3996	23885
129	4026	23850
130	4054	23799
131	4082	23752
132	4111	23707
133	4139	23663
134	4169	23626
135	4199	23592
136	4230	23561
137	4259	23522
138	4291	23497
139	4321	23457
140	4352	23429
141	4382	23392
142	4412	23356
143	4441	23319
144	4470	23277
145	4500	23244
146	4530	23207
147	4560	23171
148	4589	23132
149	4618	23094
150	4648	23060
151	4678	23023
152	4709	22991
153	4737	22951
154	4768	22919
155	4803	22910
156	4850	22952
157	4880	22919
158	4908	22874
159	4937	22837
160	4967	22798
161	4997	22766
162	5028	22738
163	5057	22697
164	5086	22659
165	5116	22624
166	5145	22585
167	5177	22559
168	5207	22526
169	5237	22488
170	5266	22452
171	5297	22422
172	5329	22395
173	5358	22359
174	5388	22325
175	5417	22284
176	5446	22246
177	5475	22209
178	5505	22175
179	5534	22137
180	5565	22108
181	5595	22074
182	5626	22043
183	5655	22007
184	5684	21971
185	5714	21937
186	5746	21910
187	5775	21874
188	5808	21849
189	5838	21817
190	5867	21778
191	5897	21746
192	5925	21708
193	5955	21673
194	5985	21639
195	6016	21608
196	6046	21576
197	6075	21539
198	6107	21512
199	6135	21475
200	6167	21446
201	6199	21420
202	6229	21390
203	6258	21354
204	6289	21322
205	6318	21285
206	6346	21248
207	6376	21215
208	6407	21185
209	6437	21151
210	6467	21120
211	6499	21092
212	6529	21059
213	6558	21024
214	6586	20986
215	6616	20953
216	6645	20915
217	6676	20887
218	6707	20858
219	6737	20824
220	6767	20791
221	6798	20761
222	6828	20731
223	6860	20702
224	6890	20671
225	6918	20633
226	6949	20603
227	6978	20566
